candidate_number,name_ar,name_en,governorate,party,gender,additional_info
320,المرشح العراقي 320,Iraqi Candidate 320,الحلة,تقدم,ذكر,معلومات إضافية للمرشح 320
321,المرشح العراقي 321,Iraqi Candidate 321,ديالى,تحالف عزم,أنثى,معلومات إضافية للمرشح 321
322,المرشح العراقي 322,Iraqi Candidate 322,بابل,حركة امتداد,ذكر,معلومات إضافية للمرشح 322
323,المرشح العراقي 323,Iraqi Candidate 323,واسط,الفتح,أنثى,معلومات إضافية للمرشح 323
324,المرشح العراقي 324,Iraqi Candidate 324,القادسية,تحالف السيادة,ذكر,معلومات إضافية للمرشح 324
325,المرشح العراقي 325,Iraqi Candidate 325,دهوك,الاتحاد الوطني الكردستاني,ذكر,معلومات إضافية للمرشح 325
326,المرشح العراقي 326,Iraqi Candidate 326,السليمانية,الاتحاد الوطني الكردستاني,ذكر,معلومات إضافية للمرشح 326
327,المرشح العراقي 327,Iraqi Candidate 327,بابل,الحزب الشيوعي العراقي,ذكر,معلومات إضافية للمرشح 327
328,المرشح العراقي 328,Iraqi Candidate 328,واسط,تحالف السيادة,ذكر,معلومات إضافية للمرشح 328
329,المرشح العراقي 329,Iraqi Candidate 329,السليمانية,حركة امتداد,ذكر,معلومات إضافية للمرشح 329
330,المرشح العراقي 330,Iraqi Candidate 330,بغداد,الحزب الشيوعي العراقي,أنثى,معلومات إضافية للمرشح 330
331,المرشح العراقي 331,Iraqi Candidate 331,بابل,تحالف السيادة,ذكر,معلومات إضافية للمرشح 331
332,المرشح العراقي 332,Iraqi Candidate 332,دهوك,تحالف عزم,أنثى,معلومات إضافية للمرشح 332
333,المرشح العراقي 333,Iraqi Candidate 333,كربلاء,الفتح,أنثى,معلومات إضافية للمرشح 333
334,المرشح العراقي 334,Iraqi Candidate 334,صلاح الدين,الحكمة,ذكر,معلومات إضافية للمرشح 334
335,المرشح العراقي 335,Iraqi Candidate 335,ميسان,الحزب الشيوعي العراقي,أنثى,معلومات إضافية للمرشح 335
336,المرشح العراقي 336,Iraqi Candidate 336,دهوك,دولة القانون,ذكر,معلومات إضافية للمرشح 336
337,المرشح العراقي 337,Iraqi Candidate 337,صلاح الدين,العزم,ذكر,معلومات إضافية للمرشح 337
338,المرشح العراقي 338,Iraqi Candidate 338,دهوك,النصر,أنثى,معلومات إضافية للمرشح 338
339,المرشح العراقي 339,Iraqi Candidate 339,واسط,حركة امتداد,أنثى,معلومات إضافية للمرشح 339
340,المرشح العراقي 340,Iraqi Candidate 340,الحلة,الحزب الديمقراطي الكردستاني,ذكر,معلومات إضافية للمرشح 340
341,المرشح العراقي 341,Iraqi Candidate 341,بغداد,الفتح,أنثى,معلومات إضافية للمرشح 341
342,المرشح العراقي 342,Iraqi Candidate 342,كركوك,الحزب الشيوعي العراقي,ذكر,معلومات إضافية للمرشح 342
343,المرشح العراقي 343,Iraqi Candidate 343,ميسان,الحزب الديمقراطي الكردستاني,أنثى,معلومات إضافية للمرشح 343
344,المرشح العراقي 344,Iraqi Candidate 344,صلاح الدين,العزم,ذكر,معلومات إضافية للمرشح 344
345,المرشح العراقي 345,Iraqi Candidate 345,واسط,الاتحاد الوطني الكردستاني,أنثى,معلومات إضافية للمرشح 345
346,المرشح العراقي 346,Iraqi Candidate 346,السليمانية,النصر,ذكر,معلومات إضافية للمرشح 346
347,المرشح العراقي 347,Iraqi Candidate 347,ميسان,العزم,أنثى,معلومات إضافية للمرشح 347
348,المرشح العراقي 348,Iraqi Candidate 348,الحلة,الحزب الديمقراطي الكردستاني,أنثى,معلومات إضافية للمرشح 348
349,المرشح العراقي 349,Iraqi Candidate 349,دهوك,الفتح,ذكر,معلومات إضافية للمرشح 349
350,المرشح العراقي 350,Iraqi Candidate 350,القادسية,تقدم,أنثى,معلومات إضافية للمرشح 350
351,المرشح العراقي 351,Iraqi Candidate 351,صلاح الدين,دولة القانون,ذكر,معلومات إضافية للمرشح 351
352,المرشح العراقي 352,Iraqi Candidate 352,بغداد,الحزب الشيوعي العراقي,ذكر,معلومات إضافية للمرشح 352
353,المرشح العراقي 353,Iraqi Candidate 353,ديالى,دولة القانون,أنثى,معلومات إضافية للمرشح 353
354,المرشح العراقي 354,Iraqi Candidate 354,ميسان,دولة القانون,ذكر,معلومات إضافية للمرشح 354
355,المرشح العراقي 355,Iraqi Candidate 355,بغداد,الفتح,ذكر,معلومات إضافية للمرشح 355
356,المرشح العراقي 356,Iraqi Candidate 356,نينوى,تقدم,ذكر,معلومات إضافية للمرشح 356
357,المرشح العراقي 357,Iraqi Candidate 357,كركوك,الوطنية,أنثى,معلومات إضافية للمرشح 357
358,المرشح العراقي 358,Iraqi Candidate 358,كركوك,الفتح,أنثى,معلومات إضافية للمرشح 358
359,المرشح العراقي 359,Iraqi Candidate 359,البصرة,الفتح,ذكر,معلومات إضافية للمرشح 359
360,المرشح العراقي 360,Iraqi Candidate 360,نجف,الاتحاد الوطني الكردستاني,ذكر,معلومات إضافية للمرشح 360
361,المرشح العراقي 361,Iraqi Candidate 361,البصرة,الحكمة,ذكر,معلومات إضافية للمرشح 361
362,المرشح العراقي 362,Iraqi Candidate 362,دهوك,سائرون,أنثى,معلومات إضافية للمرشح 362
363,المرشح العراقي 363,Iraqi Candidate 363,الحلة,تحالف السيادة,ذكر,معلومات إضافية للمرشح 363
364,المرشح العراقي 364,Iraqi Candidate 364,الحلة,تقدم,ذكر,معلومات إضافية للمرشح 364
365,المرشح العراقي 365,Iraqi Candidate 365,البصرة,تقدم,ذكر,معلومات إضافية للمرشح 365
366,المرشح العراقي 366,Iraqi Candidate 366,واسط,حركة امتداد,ذكر,معلومات إضافية للمرشح 366
367,المرشح العراقي 367,Iraqi Candidate 367,ديالى,تحالف عزم,ذكر,معلومات إضافية للمرشح 367
368,المرشح العراقي 368,Iraqi Candidate 368,نينوى,حركة امتداد,ذكر,معلومات إضافية للمرشح 368
369,المرشح العراقي 369,Iraqi Candidate 369,نجف,العزم,ذكر,معلومات إضافية للمرشح 369
370,المرشح العراقي 370,Iraqi Candidate 370,نينوى,سائرون,أنثى,معلومات إضافية للمرشح 370
371,المرشح العراقي 371,Iraqi Candidate 371,السليمانية,العزم,أنثى,معلومات إضافية للمرشح 371
372,المرشح العراقي 372,Iraqi Candidate 372,واسط,الحزب الشيوعي العراقي,أنثى,معلومات إضافية للمرشح 372
373,المرشح العراقي 373,Iraqi Candidate 373,كركوك,تحالف عزم,أنثى,معلومات إضافية للمرشح 373
374,المرشح العراقي 374,Iraqi Candidate 374,الأنبار,تحالف السيادة,ذكر,معلومات إضافية للمرشح 374
375,المرشح العراقي 375,Iraqi Candidate 375,واسط,سائرون,أنثى,معلومات إضافية للمرشح 375
376,المرشح العراقي 376,Iraqi Candidate 376,الأنبار,حركة امتداد,ذكر,معلومات إضافية للمرشح 376
377,المرشح العراقي 377,Iraqi Candidate 377,ميسان,الحكمة,ذكر,معلومات إضافية للمرشح 377
378,المرشح العراقي 378,Iraqi Candidate 378,بغداد,تحالف عزم,أنثى,معلومات إضافية للمرشح 378
379,المرشح العراقي 379,Iraqi Candidate 379,أربيل,الحزب الديمقراطي الكردستاني,أنثى,معلومات إضافية للمرشح 379
380,المرشح العراقي 380,Iraqi Candidate 380,ديالى,النصر,أنثى,معلومات إضافية للمرشح 380
381,المرشح العراقي 381,Iraqi Candidate 381,بغداد,دولة القانون,أنثى,معلومات إضافية للمرشح 381
382,المرشح العراقي 382,Iraqi Candidate 382,البصرة,الحزب الشيوعي العراقي,أنثى,معلومات إضافية للمرشح 382
383,المرشح العراقي 383,Iraqi Candidate 383,واسط,الوطنية,ذكر,معلومات إضافية للمرشح 383
384,المرشح العراقي 384,Iraqi Candidate 384,المثنى,حركة امتداد,أنثى,معلومات إضافية للمرشح 384
385,المرشح العراقي 385,Iraqi Candidate 385,ميسان,الحزب الديمقراطي الكردستاني,ذكر,معلومات إضافية للمرشح 385
386,المرشح العراقي 386,Iraqi Candidate 386,الأنبار,الاتحاد الوطني الكردستاني,أنثى,معلومات إضافية للمرشح 386
387,المرشح العراقي 387,Iraqi Candidate 387,نينوى,الحزب الديمقراطي الكردستاني,ذكر,معلومات إضافية للمرشح 387
388,المرشح العراقي 388,Iraqi Candidate 388,أربيل,سائرون,ذكر,معلومات إضافية للمرشح 388
389,المرشح العراقي 389,Iraqi Candidate 389,الحلة,حركة امتداد,أنثى,معلومات إضافية للمرشح 389
390,المرشح العراقي 390,Iraqi Candidate 390,أربيل,العزم,ذكر,معلومات إضافية للمرشح 390
391,المرشح العراقي 391,Iraqi Candidate 391,دهوك,الحكمة,ذكر,معلومات إضافية للمرشح 391
392,المرشح العراقي 392,Iraqi Candidate 392,أربيل,دولة القانون,ذكر,معلومات إضافية للمرشح 392
393,المرشح العراقي 393,Iraqi Candidate 393,الحلة,حركة امتداد,ذكر,معلومات إضافية للمرشح 393
394,المرشح العراقي 394,Iraqi Candidate 394,السليمانية,تقدم,أنثى,معلومات إضافية للمرشح 394
395,المرشح العراقي 395,Iraqi Candidate 395,دهوك,الوطنية,ذكر,معلومات إضافية للمرشح 395
396,المرشح العراقي 396,Iraqi Candidate 396,الحلة,العزم,ذكر,معلومات إضافية للمرشح 396
397,المرشح العراقي 397,Iraqi Candidate 397,صلاح الدين,تقدم,ذكر,معلومات إضافية للمرشح 397
398,المرشح العراقي 398,Iraqi Candidate 398,ذي قار,الاتحاد الوطني الكردستاني,أنثى,معلومات إضافية للمرشح 398
399,المرشح العراقي 399,Iraqi Candidate 399,نينوى,الحزب الديمقراطي الكردستاني,ذكر,معلومات إضافية للمرشح 399
400,المرشح العراقي 400,Iraqi Candidate 400,ميسان,حركة امتداد,أنثى,معلومات إضافية للمرشح 400
401,المرشح العراقي 401,Iraqi Candidate 401,البصرة,تحالف السيادة,ذكر,معلومات إضافية للمرشح 401
402,المرشح العراقي 402,Iraqi Candidate 402,ميسان,الحزب الديمقراطي الكردستاني,ذكر,معلومات إضافية للمرشح 402
403,المرشح العراقي 403,Iraqi Candidate 403,القادسية,الحزب الديمقراطي الكردستاني,أنثى,معلومات إضافية للمرشح 403
404,المرشح العراقي 404,Iraqi Candidate 404,دهوك,العزم,أنثى,معلومات إضافية للمرشح 404
405,المرشح العراقي 405,Iraqi Candidate 405,نجف,سائرون,أنثى,معلومات إضافية للمرشح 405
406,المرشح العراقي 406,Iraqi Candidate 406,كركوك,تحالف عزم,أنثى,معلومات إضافية للمرشح 406
407,المرشح العراقي 407,Iraqi Candidate 407,نينوى,الوطنية,ذكر,معلومات إضافية للمرشح 407
408,المرشح العراقي 408,Iraqi Candidate 408,الحلة,حركة امتداد,ذكر,معلومات إضافية للمرشح 408
409,المرشح العراقي 409,Iraqi Candidate 409,أربيل,تقدم,ذكر,معلومات إضافية للمرشح 409
410,المرشح العراقي 410,Iraqi Candidate 410,دهوك,العزم,أنثى,معلومات إضافية للمرشح 410
411,المرشح العراقي 411,Iraqi Candidate 411,نينوى,الاتحاد الوطني الكردستاني,أنثى,معلومات إضافية للمرشح 411
412,المرشح العراقي 412,Iraqi Candidate 412,الحلة,الاتحاد الوطني الكردستاني,ذكر,معلومات إضافية للمرشح 412
413,المرشح العراقي 413,Iraqi Candidate 413,ديالى,الوطنية,أنثى,معلومات إضافية للمرشح 413
414,المرشح العراقي 414,Iraqi Candidate 414,السليمانية,الحزب الشيوعي العراقي,ذكر,معلومات إضافية للمرشح 414
415,المرشح العراقي 415,Iraqi Candidate 415,المثنى,الحزب الشيوعي العراقي,ذكر,معلومات إضافية للمرشح 415
416,المرشح العراقي 416,Iraqi Candidate 416,واسط,العزم,أنثى,معلومات إضافية للمرشح 416
417,المرشح العراقي 417,Iraqi Candidate 417,واسط,الوطنية,أنثى,معلومات إضافية للمرشح 417
418,المرشح العراقي 418,Iraqi Candidate 418,بابل,العزم,أنثى,معلومات إضافية للمرشح 418
419,المرشح العراقي 419,Iraqi Candidate 419,أربيل,تقدم,أنثى,معلومات إضافية للمرشح 419
420,المرشح العراقي 420,Iraqi Candidate 420,بغداد,تحالف السيادة,ذكر,معلومات إضافية للمرشح 420
421,المرشح العراقي 421,Iraqi Candidate 421,المثنى,الحكمة,أنثى,معلومات إضافية للمرشح 421
422,المرشح العراقي 422,Iraqi Candidate 422,كربلاء,سائرون,ذكر,معلومات إضافية للمرشح 422
423,المرشح العراقي 423,Iraqi Candidate 423,صلاح الدين,الوطنية,ذكر,معلومات إضافية للمرشح 423
424,المرشح العراقي 424,Iraqi Candidate 424,واسط,الوطنية,ذكر,معلومات إضافية للمرشح 424
425,المرشح العراقي 425,Iraqi Candidate 425,كربلاء,الوطنية,أنثى,معلومات إضافية للمرشح 425
426,المرشح العراقي 426,Iraqi Candidate 426,كربلاء,الاتحاد الوطني الكردستاني,ذكر,معلومات إضافية للمرشح 426
427,المرشح العراقي 427,Iraqi Candidate 427,البصرة,الحزب الديمقراطي الكردستاني,ذكر,معلومات إضافية للمرشح 427
428,المرشح العراقي 428,Iraqi Candidate 428,نجف,العزم,أنثى,معلومات إضافية للمرشح 428
429,المرشح العراقي 429,Iraqi Candidate 429,كركوك,حركة امتداد,ذكر,معلومات إضافية للمرشح 429
430,المرشح العراقي 430,Iraqi Candidate 430,القادسية,النصر,ذكر,معلومات إضافية للمرشح 430
431,المرشح العراقي 431,Iraqi Candidate 431,الأنبار,العزم,ذكر,معلومات إضافية للمرشح 431
432,المرشح العراقي 432,Iraqi Candidate 432,بابل,النصر,أنثى,معلومات إضافية للمرشح 432
433,المرشح العراقي 433,Iraqi Candidate 433,البصرة,الحكمة,أنثى,معلومات إضافية للمرشح 433
434,المرشح العراقي 434,Iraqi Candidate 434,واسط,حركة امتداد,ذكر,معلومات إضافية للمرشح 434
435,المرشح العراقي 435,Iraqi Candidate 435,ميسان,تحالف السيادة,أنثى,معلومات إضافية للمرشح 435
436,المرشح العراقي 436,Iraqi Candidate 436,الأنبار,النصر,ذكر,معلومات إضافية للمرشح 436
437,المرشح العراقي 437,Iraqi Candidate 437,الحلة,الوطنية,ذكر,معلومات إضافية للمرشح 437
438,المرشح العراقي 438,Iraqi Candidate 438,كربلاء,تحالف السيادة,ذكر,معلومات إضافية للمرشح 438
439,المرشح العراقي 439,Iraqi Candidate 439,ميسان,الحكمة,ذكر,معلومات إضافية للمرشح 439
440,المرشح العراقي 440,Iraqi Candidate 440,المثنى,الفتح,أنثى,معلومات إضافية للمرشح 440
441,المرشح العراقي 441,Iraqi Candidate 441,المثنى,الحزب الديمقراطي الكردستاني,أنثى,معلومات إضافية للمرشح 441
442,المرشح العراقي 442,Iraqi Candidate 442,كركوك,حركة امتداد,أنثى,معلومات إضافية للمرشح 442
443,المرشح العراقي 443,Iraqi Candidate 443,ميسان,تقدم,ذكر,معلومات إضافية للمرشح 443
444,المرشح العراقي 444,Iraqi Candidate 444,كربلاء,دولة القانون,ذكر,معلومات إضافية للمرشح 444
445,المرشح العراقي 445,Iraqi Candidate 445,الحلة,النصر,ذكر,معلومات إضافية للمرشح 445
446,المرشح العراقي 446,Iraqi Candidate 446,ديالى,تحالف عزم,ذكر,معلومات إضافية للمرشح 446
447,المرشح العراقي 447,Iraqi Candidate 447,ذي قار,حركة امتداد,أنثى,معلومات إضافية للمرشح 447
448,المرشح العراقي 448,Iraqi Candidate 448,المثنى,دولة القانون,أنثى,معلومات إضافية للمرشح 448
449,المرشح العراقي 449,Iraqi Candidate 449,القادسية,تقدم,ذكر,معلومات إضافية للمرشح 449
450,المرشح العراقي 450,Iraqi Candidate 450,البصرة,النصر,أنثى,معلومات إضافية للمرشح 450
451,المرشح العراقي 451,Iraqi Candidate 451,الحلة,سائرون,ذكر,معلومات إضافية للمرشح 451
452,المرشح العراقي 452,Iraqi Candidate 452,كركوك,دولة القانون,ذكر,معلومات إضافية للمرشح 452
453,المرشح العراقي 453,Iraqi Candidate 453,البصرة,الحزب الديمقراطي الكردستاني,ذكر,معلومات إضافية للمرشح 453
454,المرشح العراقي 454,Iraqi Candidate 454,نينوى,دولة القانون,أنثى,معلومات إضافية للمرشح 454
455,المرشح العراقي 455,Iraqi Candidate 455,ديالى,النصر,أنثى,معلومات إضافية للمرشح 455
456,المرشح العراقي 456,Iraqi Candidate 456,المثنى,تحالف السيادة,ذكر,معلومات إضافية للمرشح 456
457,المرشح العراقي 457,Iraqi Candidate 457,أربيل,حركة امتداد,أنثى,معلومات إضافية للمرشح 457
458,المرشح العراقي 458,Iraqi Candidate 458,بغداد,النصر,ذكر,معلومات إضافية للمرشح 458
459,المرشح العراقي 459,Iraqi Candidate 459,القادسية,الاتحاد الوطني الكردستاني,أنثى,معلومات إضافية للمرشح 459
460,المرشح العراقي 460,Iraqi Candidate 460,بابل,تحالف عزم,أنثى,معلومات إضافية للمرشح 460
461,المرشح العراقي 461,Iraqi Candidate 461,كربلاء,الاتحاد الوطني الكردستاني,أنثى,معلومات إضافية للمرشح 461
462,المرشح العراقي 462,Iraqi Candidate 462,نينوى,الوطنية,ذكر,معلومات إضافية للمرشح 462
463,المرشح العراقي 463,Iraqi Candidate 463,المثنى,الاتحاد الوطني الكردستاني,ذكر,معلومات إضافية للمرشح 463
464,المرشح العراقي 464,Iraqi Candidate 464,ذي قار,الوطنية,ذكر,معلومات إضافية للمرشح 464
465,المرشح العراقي 465,Iraqi Candidate 465,بغداد,الحزب الديمقراطي الكردستاني,ذكر,معلومات إضافية للمرشح 465
466,المرشح العراقي 466,Iraqi Candidate 466,صلاح الدين,النصر,ذكر,معلومات إضافية للمرشح 466
467,المرشح العراقي 467,Iraqi Candidate 467,الحلة,حركة امتداد,أنثى,معلومات إضافية للمرشح 467
468,المرشح العراقي 468,Iraqi Candidate 468,أربيل,الاتحاد الوطني الكردستاني,ذكر,معلومات إضافية للمرشح 468
469,المرشح العراقي 469,Iraqi Candidate 469,الأنبار,الحكمة,ذكر,معلومات إضافية للمرشح 469
470,المرشح العراقي 470,Iraqi Candidate 470,نينوى,النصر,أنثى,معلومات إضافية للمرشح 470
471,المرشح العراقي 471,Iraqi Candidate 471,القادسية,الاتحاد الوطني الكردستاني,ذكر,معلومات إضافية للمرشح 471
472,المرشح العراقي 472,Iraqi Candidate 472,أربيل,الوطنية,أنثى,معلومات إضافية للمرشح 472
473,المرشح العراقي 473,Iraqi Candidate 473,نجف,سائرون,ذكر,معلومات إضافية للمرشح 473
474,المرشح العراقي 474,Iraqi Candidate 474,القادسية,دولة القانون,أنثى,معلومات إضافية للمرشح 474
475,المرشح العراقي 475,Iraqi Candidate 475,بابل,تحالف السيادة,أنثى,معلومات إضافية للمرشح 475
476,المرشح العراقي 476,Iraqi Candidate 476,السليمانية,الحكمة,ذكر,معلومات إضافية للمرشح 476
477,المرشح العراقي 477,Iraqi Candidate 477,الأنبار,الحزب الشيوعي العراقي,أنثى,معلومات إضافية للمرشح 477
478,المرشح العراقي 478,Iraqi Candidate 478,ديالى,الفتح,ذكر,معلومات إضافية للمرشح 478
479,المرشح العراقي 479,Iraqi Candidate 479,بابل,حركة امتداد,أنثى,معلومات إضافية للمرشح 479
480,المرشح العراقي 480,Iraqi Candidate 480,الحلة,العزم,أنثى,معلومات إضافية للمرشح 480
481,المرشح العراقي 481,Iraqi Candidate 481,القادسية,الحزب الديمقراطي الكردستاني,أنثى,معلومات إضافية للمرشح 481
482,المرشح العراقي 482,Iraqi Candidate 482,ذي قار,الحزب الديمقراطي الكردستاني,ذكر,معلومات إضافية للمرشح 482
483,المرشح العراقي 483,Iraqi Candidate 483,ذي قار,الحزب الديمقراطي الكردستاني,أنثى,معلومات إضافية للمرشح 483
484,المرشح العراقي 484,Iraqi Candidate 484,البصرة,تحالف عزم,ذكر,معلومات إضافية للمرشح 484
485,المرشح العراقي 485,Iraqi Candidate 485,ديالى,الاتحاد الوطني الكردستاني,ذكر,معلومات إضافية للمرشح 485
486,المرشح العراقي 486,Iraqi Candidate 486,كركوك,العزم,ذكر,معلومات إضافية للمرشح 486
487,المرشح العراقي 487,Iraqi Candidate 487,أربيل,الاتحاد الوطني الكردستاني,أنثى,معلومات إضافية للمرشح 487
488,المرشح العراقي 488,Iraqi Candidate 488,ذي قار,تحالف السيادة,أنثى,معلومات إضافية للمرشح 488
489,المرشح العراقي 489,Iraqi Candidate 489,كربلاء,تقدم,ذكر,معلومات إضافية للمرشح 489
490,المرشح العراقي 490,Iraqi Candidate 490,دهوك,تحالف السيادة,أنثى,معلومات إضافية للمرشح 490
491,المرشح العراقي 491,Iraqi Candidate 491,نينوى,تحالف السيادة,ذكر,معلومات إضافية للمرشح 491
492,المرشح العراقي 492,Iraqi Candidate 492,كركوك,حركة امتداد,ذكر,معلومات إضافية للمرشح 492
493,المرشح العراقي 493,Iraqi Candidate 493,كربلاء,الحزب الشيوعي العراقي,ذكر,معلومات إضافية للمرشح 493
494,المرشح العراقي 494,Iraqi Candidate 494,السليمانية,تحالف السيادة,ذكر,معلومات إضافية للمرشح 494
495,المرشح العراقي 495,Iraqi Candidate 495,القادسية,الوطنية,ذكر,معلومات إضافية للمرشح 495
496,المرشح العراقي 496,Iraqi Candidate 496,كركوك,سائرون,ذكر,معلومات إضافية للمرشح 496
497,المرشح العراقي 497,Iraqi Candidate 497,ميسان,الحزب الديمقراطي الكردستاني,أنثى,معلومات إضافية للمرشح 497
498,المرشح العراقي 498,Iraqi Candidate 498,كركوك,الوطنية,أنثى,معلومات إضافية للمرشح 498
499,المرشح العراقي 499,Iraqi Candidate 499,البصرة,تقدم,ذكر,معلومات إضافية للمرشح 499
500,المرشح العراقي 500,Iraqi Candidate 500,أربيل,الوطنية,ذكر,معلومات إضافية للمرشح 500
501,المرشح العراقي 501,Iraqi Candidate 501,البصرة,دولة القانون,ذكر,معلومات إضافية للمرشح 501
502,المرشح العراقي 502,Iraqi Candidate 502,صلاح الدين,الحزب الشيوعي العراقي,ذكر,معلومات إضافية للمرشح 502
503,المرشح العراقي 503,Iraqi Candidate 503,ذي قار,حركة امتداد,ذكر,معلومات إضافية للمرشح 503
504,المرشح العراقي 504,Iraqi Candidate 504,المثنى,تحالف عزم,أنثى,معلومات إضافية للمرشح 504
505,المرشح العراقي 505,Iraqi Candidate 505,القادسية,تحالف عزم,ذكر,معلومات إضافية للمرشح 505
506,المرشح العراقي 506,Iraqi Candidate 506,صلاح الدين,تقدم,ذكر,معلومات إضافية للمرشح 506
507,المرشح العراقي 507,Iraqi Candidate 507,كركوك,تقدم,ذكر,معلومات إضافية للمرشح 507
508,المرشح العراقي 508,Iraqi Candidate 508,القادسية,الحزب الديمقراطي الكردستاني,ذكر,معلومات إضافية للمرشح 508
509,المرشح العراقي 509,Iraqi Candidate 509,المثنى,العزم,ذكر,معلومات إضافية للمرشح 509
510,المرشح العراقي 510,Iraqi Candidate 510,أربيل,النصر,ذكر,معلومات إضافية للمرشح 510
511,المرشح العراقي 511,Iraqi Candidate 511,كربلاء,الحزب الديمقراطي الكردستاني,ذكر,معلومات إضافية للمرشح 511
512,المرشح العراقي 512,Iraqi Candidate 512,دهوك,تحالف عزم,أنثى,معلومات إضافية للمرشح 512
513,المرشح العراقي 513,Iraqi Candidate 513,أربيل,العزم,ذكر,معلومات إضافية للمرشح 513
514,المرشح العراقي 514,Iraqi Candidate 514,المثنى,تحالف السيادة,ذكر,معلومات إضافية للمرشح 514
515,المرشح العراقي 515,Iraqi Candidate 515,الأنبار,الوطنية,ذكر,معلومات إضافية للمرشح 515
516,المرشح العراقي 516,Iraqi Candidate 516,ديالى,الفتح,أنثى,معلومات إضافية للمرشح 516
517,المرشح العراقي 517,Iraqi Candidate 517,بابل,الاتحاد الوطني الكردستاني,أنثى,معلومات إضافية للمرشح 517
518,المرشح العراقي 518,Iraqi Candidate 518,ذي قار,الفتح,أنثى,معلومات إضافية للمرشح 518
519,المرشح العراقي 519,Iraqi Candidate 519,نينوى,الحكمة,ذكر,معلومات إضافية للمرشح 519
520,المرشح العراقي 520,Iraqi Candidate 520,واسط,تحالف السيادة,ذكر,معلومات إضافية للمرشح 520
521,المرشح العراقي 521,Iraqi Candidate 521,كركوك,النصر,ذكر,معلومات إضافية للمرشح 521
522,المرشح العراقي 522,Iraqi Candidate 522,صلاح الدين,حركة امتداد,ذكر,معلومات إضافية للمرشح 522
523,المرشح العراقي 523,Iraqi Candidate 523,كربلاء,دولة القانون,أنثى,معلومات إضافية للمرشح 523
524,المرشح العراقي 524,Iraqi Candidate 524,كربلاء,الاتحاد الوطني الكردستاني,ذكر,معلومات إضافية للمرشح 524
525,المرشح العراقي 525,Iraqi Candidate 525,المثنى,تحالف عزم,ذكر,معلومات إضافية للمرشح 525
526,المرشح العراقي 526,Iraqi Candidate 526,صلاح الدين,تحالف عزم,ذكر,معلومات إضافية للمرشح 526
527,المرشح العراقي 527,Iraqi Candidate 527,ميسان,تقدم,ذكر,معلومات إضافية للمرشح 527
528,المرشح العراقي 528,Iraqi Candidate 528,نينوى,الحزب الديمقراطي الكردستاني,ذكر,معلومات إضافية للمرشح 528
529,المرشح العراقي 529,Iraqi Candidate 529,بابل,دولة القانون,ذكر,معلومات إضافية للمرشح 529
530,المرشح العراقي 530,Iraqi Candidate 530,دهوك,حركة امتداد,أنثى,معلومات إضافية للمرشح 530
531,المرشح العراقي 531,Iraqi Candidate 531,ذي قار,الحزب الديمقراطي الكردستاني,أنثى,معلومات إضافية للمرشح 531
532,المرشح العراقي 532,Iraqi Candidate 532,القادسية,تقدم,ذكر,معلومات إضافية للمرشح 532
533,المرشح العراقي 533,Iraqi Candidate 533,كربلاء,سائرون,ذكر,معلومات إضافية للمرشح 533
534,المرشح العراقي 534,Iraqi Candidate 534,كربلاء,دولة القانون,ذكر,معلومات إضافية للمرشح 534
535,المرشح العراقي 535,Iraqi Candidate 535,القادسية,حركة امتداد,أنثى,معلومات إضافية للمرشح 535
536,المرشح العراقي 536,Iraqi Candidate 536,نينوى,حركة امتداد,أنثى,معلومات إضافية للمرشح 536
537,المرشح العراقي 537,Iraqi Candidate 537,ذي قار,الحزب الشيوعي العراقي,أنثى,معلومات إضافية للمرشح 537
538,المرشح العراقي 538,Iraqi Candidate 538,أربيل,الحزب الديمقراطي الكردستاني,أنثى,معلومات إضافية للمرشح 538
539,المرشح العراقي 539,Iraqi Candidate 539,القادسية,دولة القانون,أنثى,معلومات إضافية للمرشح 539
540,المرشح العراقي 540,Iraqi Candidate 540,صلاح الدين,العزم,ذكر,معلومات إضافية للمرشح 540
541,المرشح العراقي 541,Iraqi Candidate 541,القادسية,الحزب الديمقراطي الكردستاني,ذكر,معلومات إضافية للمرشح 541
542,المرشح العراقي 542,Iraqi Candidate 542,كربلاء,الحكمة,أنثى,معلومات إضافية للمرشح 542
543,المرشح العراقي 543,Iraqi Candidate 543,بابل,دولة القانون,ذكر,معلومات إضافية للمرشح 543
544,المرشح العراقي 544,Iraqi Candidate 544,الحلة,الحزب الشيوعي العراقي,ذكر,معلومات إضافية للمرشح 544
545,المرشح العراقي 545,Iraqi Candidate 545,أربيل,الوطنية,أنثى,معلومات إضافية للمرشح 545
546,المرشح العراقي 546,Iraqi Candidate 546,أربيل,سائرون,أنثى,معلومات إضافية للمرشح 546
547,المرشح العراقي 547,Iraqi Candidate 547,المثنى,الاتحاد الوطني الكردستاني,ذكر,معلومات إضافية للمرشح 547
548,المرشح العراقي 548,Iraqi Candidate 548,الحلة,تحالف السيادة,ذكر,معلومات إضافية للمرشح 548
549,المرشح العراقي 549,Iraqi Candidate 549,نجف,الحزب الشيوعي العراقي,ذكر,معلومات إضافية للمرشح 549
550,المرشح العراقي 550,Iraqi Candidate 550,بابل,الحزب الشيوعي العراقي,أنثى,معلومات إضافية للمرشح 550
551,المرشح العراقي 551,Iraqi Candidate 551,أربيل,الاتحاد الوطني الكردستاني,ذكر,معلومات إضافية للمرشح 551
